PCTKEY,FIP,PCT,Biden,Trump,Biden % ,Trump %
1133310,113,3310,875,816,0.52,0.48
1133311,113,3311,741,744,0.5,0.5
1133312,113,3312,1334,847,0.61,0.39
1133313,113,3313,2607,1079,0.71,0.29
1133314,113,3314,1868,817,0.7,0.3
1133315,113,3315,571,280,0.67,0.33
1133316,113,3316,1136,792,0.59,0.41
1133317,113,3317,1028,388,0.73,0.27
1133318,113,3318,704,392,0.64,0.36
1133400,113,3400,357,83,0.81,0.19
1133401,113,3401,1,3,0.25,0.75
1133402,113,3402,171,66,0.72,0.28
1133404,113,3404,948,369,0.72,0.28
1133405,113,3405,1332,510,0.72,0.28
1133406,113,3406,5,16,0.24,0.76
1133407,113,3407,108,108,0.5,0.5
1133408,113,3408,762,306,0.71,0.29
1133409,113,3409,239,129,0.65,0.35
1133410,113,3410,130,55,0.7,0.3
1133411,113,3411,1,1,0.5,0.5
1133922,113,3922,39,9,0.81,0.19
1134000,113,4000,188,77,0.71,0.29
1134001,113,4001,582,158,0.79,0.21
1134002,113,4002,502,278,0.64,0.36
1134003,113,4003,154,36,0.81,0.19
1134004,113,4004,814,283,0.74,0.26
1134006,113,4006,628,307,0.67,0.33
1134007,113,4007,113,61,0.65,0.35
1134008,113,4008,248,55,0.82,0.18
1134009,113,4009,700,175,0.8,0.2
1134010,113,4010,674,378,0.64,0.36
1134011,113,4011,393,110,0.78,0.22
1134012,113,4012,37,26,0.59,0.41
1134013,113,4013,138,124,0.53,0.47
1134015,113,4015,884,249,0.78,0.22
1134016,113,4016,936,215,0.81,0.19
1134017,113,4017,254,117,0.68,0.32
1134018,113,4018,546,306,0.64,0.36
1134020,113,4020,522,163,0.76,0.24
1134021,113,4021,2483,505,0.83,0.17
1134026,113,4026,73,13,0.85,0.15
1134027,113,4027,143,37,0.79,0.21
1134054,113,4054,241,62,0.8,0.2
1134060,113,4060,1053,236,0.82,0.18
1134061,113,4061,1033,282,0.79,0.21
1134062,113,4062,827,208,0.8,0.2
1134065,113,4065,434,126,0.78,0.23
1134066,113,4066,461,145,0.76,0.24
1134067,113,4067,901,237,0.79,0.21
1134068,113,4068,890,230,0.79,0.21
1134069,113,4069,1457,322,0.82,0.18
1134073,113,4073,833,229,0.78,0.22
1134076,113,4076,1310,355,0.79,0.21
1134081,113,4081,1418,279,0.84,0.16
1134086,113,4086,1361,310,0.81,0.19
1134087,113,4087,379,82,0.82,0.18
1134088,113,4088,177,39,0.82,0.18
1134092,113,4092,85,29,0.75,0.25
1134095,113,4095,20,12,0.63,0.38
1134097,113,4097,451,182,0.71,0.29
1134098,113,4098,25,12,0.68,0.32
1134099,113,4099,537,466,0.54,0.46
1134113,113,4113,875,279,0.76,0.24
1134114,113,4114,730,199,0.79,0.21
1134119,113,4119,2,2,0.5,0.5
1134120,113,4120,261,41,0.86,0.14
1134121,113,4121,0,0,0,0
1134125,113,4125,0,0,0,0
1134300,113,4300,581,224,0.72,0.28
1134514,113,4514,462,405,0.53,0.47
1134515,113,4515,763,328,0.7,0.3
1134516,113,4516,15,3,0.83,0.17
1134517,113,4517,1040,1186,0.47,0.53
1134518,113,4518,718,477,0.6,0.4
1134527,113,4527,575,316,0.65,0.35
1134540,113,4540,0,0,0,0
1134600,113,4600,883,770,0.53,0.47
1134601,113,4601,1326,1273,0.51,0.49
1134602,113,4602,720,567,0.56,0.44
1134603,113,4603,21,8,0.72,0.28
1134604,113,4604,1047,782,0.57,0.43
1134605,113,4605,864,688,0.56,0.44
1134606,113,4606,1010,726,0.58,0.42
1134607,113,4607,689,432,0.61,0.39
1134608,113,4608,1578,668,0.7,0.3
1134609,113,4609,834,252,0.77,0.23
1134610,113,4610,761,745,0.51,0.49
1134611,113,4611,592,443,0.57,0.43
1134612,113,4612,114,108,0.51,0.49
1134613,113,4613,319,113,0.74,0.26
1134614,113,4614,150,218,0.41,0.59
1134615,113,4615,76,57,0.57,0.43
1134616,113,4616,483,287,0.63,0.37
1134617,113,4617,67,55,0.55,0.45
1134618,113,4618,176,125,0.58,0.42
1134619,113,4619,445,504,0.47,0.53
1134620,113,4620,588,477,0.55,0.45
1134621,113,4621,1741,501,0.78,0.22
1134622,113,4622,760,514,0.6,0.4
1134623,113,4623,988,580,0.63,0.37
1134624,113,4624,621,476,0.57,0.43
1134625,113,4625,820,711,0.54,0.46
1134626,113,4626,1012,993,0.5,0.5
1134627,113,4627,2298,1415,0.62,0.38
1134628,113,4628,972,239,0.8,0.2
1134629,113,4629,571,273,0.68,0.32
1134630,113,4630,558,532,0.51,0.49
1134631,113,4631,464,406,0.53,0.47
1134632,113,4632,893,374,0.7,0.3
1134633,113,4633,444,170,0.72,0.28
1134634,113,4634,1510,1141,0.57,0.43
1134639,113,4639,254,128,0.66,0.34
1134640,113,4640,1264,455,0.74,0.26
1134641,113,4641,215,146,0.6,0.4
1134642,113,4642,50,44,0.53,0.47
1134644,113,4644,348,182,0.66,0.34
