CNTYVTD,VTDKEY,Biden,Trump,Biden % ,Trump % 
1132706,2309,1040,1003,0.51,0.49
1132707,2310,1348,954,0.59,0.41
1132708,2311,1648,1709,0.49,0.51
1132709,2312,498,498,0.50,0.50
1132710,2313,953,793,0.55,0.45
1132711,2314,1066,872,0.55,0.45
1132712,2315,1736,1182,0.59,0.41
1132713,2316,557,852,0.40,0.60
1132714,2317,1848,1428,0.56,0.44
1132715,2318,1159,897,0.56,0.44
1132716,2319,692,435,0.61,0.39
1132800,2323,0,0,0.00,0.00
1132801,2324,1281,1399,0.48,0.52
1132802,2325,1775,1735,0.51,0.49
1132803,2326,453,620,0.42,0.58
1132804,2327,916,1054,0.46,0.54
1132805,2328,1745,1604,0.52,0.48
1132806,2329,977,986,0.50,0.50
1132808,2332,1296,1271,0.50,0.50
1132809,2333,1286,940,0.58,0.42
1132900,2336,1273,1131,0.53,0.47
1132901,2337,771,349,0.69,0.31
1132902,2338,905,422,0.68,0.32
1132903,2339,1348,699,0.66,0.34
1132904,2340,2,3,0.40,0.60
1132905,2341,166,240,0.41,0.59
1132910,2342,11,16,0.41,0.59
1132911,2343,102,105,0.49,0.51
1132920,2344,1335,1233,0.52,0.48
1132921,2345,1619,1804,0.47,0.53
1132922,2346,2103,2274,0.48,0.52
1132923,2347,1302,1375,0.49,0.51
1132924,2348,788,749,0.51,0.49
1132925,2349,1070,1525,0.41,0.59
1132926,2350,985,1011,0.49,0.51
1132927,2351,2215,2097,0.51,0.49
1132928,2352,818,1416,0.37,0.63
1132929,2353,479,514,0.48,0.52
1132940,2354,426,789,0.35,0.65
1132941,2355,1578,2040,0.44,0.56
1132942,2356,1681,2333,0.42,0.58
1133000,2357,1789,1176,0.60,0.40
1133001,2358,246,28,0.90,0.10
1133002,2359,719,134,0.84,0.16
1133003,2360,1081,136,0.89,0.11
1133004,2361,1209,247,0.83,0.17
1133005,2362,322,166,0.66,0.34
1133006,2363,1832,1402,0.57,0.43
1133007,2364,653,502,0.57,0.43
1133008,2365,3612,1360,0.73,0.27
1133009,2366,1309,506,0.72,0.28
1133010,2367,142,122,0.54,0.46
1133011,2368,1076,255,0.81,0.19
1133012,2369,67,21,0.76,0.24
1133013,2370,342,125,0.73,0.27
1133014,2371,895,466,0.66,0.34
1133015,2372,87,64,0.58,0.42
1133017,2375,343,37,0.90,0.10
1133018,2376,868,62,0.93,0.07
1133019,2377,369,14,0.96,0.04
1133020,2378,138,30,0.82,0.18
1133021,2379,424,33,0.93,0.07
1133022,2380,800,38,0.95,0.05
1133023,2381,599,24,0.96,0.04
1133024,2382,649,35,0.95,0.05
1133025,2383,93,6,0.94,0.06
1133026,2384,359,12,0.97,0.03
1133027,2385,622,31,0.95,0.05
1133028,2386,473,24,0.95,0.05
1133029,2387,421,28,0.94,0.06
1133030,2388,7,2,0.78,0.22
1133031,2389,287,119,0.71,0.29
1133032,2390,547,73,0.88,0.12
1133033,2391,165,17,0.91,0.09
1133034,2392,714,44,0.94,0.06
1133035,2393,680,51,0.93,0.07
1133036,2394,6,5,0.55,0.45
1133037,2395,183,18,0.91,0.09
1133038,2396,494,17,0.97,0.03
1133039,2397,1111,57,0.95,0.05
1133040,2398,564,40,0.93,0.07
1133041,2399,77,5,0.94,0.06
1133042,2400,672,25,0.96,0.04
1133043,2401,930,44,0.95,0.05
1133044,2402,1192,63,0.95,0.05
1133045,2403,320,25,0.93,0.07
1133046,2404,1281,183,0.88,0.13
1133047,2405,750,249,0.75,0.25
1133048,2406,1289,64,0.95,0.05
1133049,2407,1038,50,0.95,0.05
1133050,2408,822,71,0.92,0.08
1133051,2409,386,21,0.95,0.05
1133052,2410,1204,56,0.96,0.04
1133053,2411,1306,113,0.92,0.08
1133054,2412,1670,76,0.96,0.04
1133055,2413,1484,121,0.92,0.08
1133056,2414,1474,94,0.94,0.06
1133057,2415,1315,156,0.89,0.11
1133058,2416,1245,59,0.95,0.05
1133059,2417,782,25,0.97,0.03
1133060,2418,867,28,0.97,0.03
1133061,2419,794,35,0.96,0.04
1133062,2420,1274,67,0.95,0.05
1133063,2421,1972,139,0.93,0.07
1133064,2422,1519,78,0.95,0.05
1133065,2423,1214,62,0.95,0.05
1133066,2424,1100,54,0.95,0.05
1133067,2425,1331,73,0.95,0.05
1133068,2426,2162,129,0.94,0.06
1133069,2427,944,41,0.96,0.04
1133070,2428,1655,86,0.95,0.05
1133071,2429,1319,76,0.95,0.05
1133072,2430,27,3,0.90,0.10
1133073,2431,95,7,0.93,0.07
1133074,2432,285,79,0.78,0.22
1133075,2433,90,12,0.88,0.12
1133076,2434,0,0,0.00,0.00
1133077,2435,1678,438,0.79,0.21
1133078,2436,1538,279,0.85,0.15
1133079,2437,195,115,0.63,0.37
1133080,2438,495,222,0.69,0.31
1133081,2439,776,484,0.62,0.38
1133082,2440,1313,115,0.92,0.08
1133083,2441,628,283,0.69,0.31
1133084,2442,728,139,0.84,0.16
1133086,2443,1755,1139,0.61,0.39
1133087,2444,0,0,0.00,0.00
1133088,2445,25,10,0.71,0.29
1133089,2446,20,40,0.33,0.67
1133090,2447,881,236,0.79,0.21
1133091,2448,0,0,0.00,0.00
1133092,2449,806,64,0.93,0.07
1133093,2450,7,0,1.00,0.00
1133094,2451,1,0,1.00,0.00
1133095,2452,0,0,0.00,0.00
1133096,2453,0,0,0.00,0.00
1133097,2454,99,1,0.99,0.01
1133098,2455,144,4,0.97,0.03
1133099,2456,144,9,0.94,0.06
1133100,2457,1302,379,0.77,0.23
1133101,2458,466,159,0.75,0.25
1133102,2459,1579,319,0.83,0.17
1133103,2460,1787,349,0.84,0.16
1133104,2461,2789,701,0.80,0.20
1133105,2462,1322,481,0.73,0.27
1133106,2463,2005,457,0.81,0.19
1133107,2464,1596,237,0.87,0.13
1133108,2465,1028,703,0.59,0.41
1133109,2466,1591,1176,0.57,0.43
1133110,2467,1855,307,0.86,0.14
1133111,2468,1,6,0.14,0.86
1133112,2469,19,6,0.76,0.24
1133113,2470,5,0,1.00,0.00
1133114,2471,2,2,0.50,0.50
1133200,2472,1028,667,0.61,0.39
1133201,2473,730,508,0.59,0.41
1133202,2474,1129,382,0.75,0.25
1133203,2475,991,407,0.71,0.29
1133204,2476,1101,541,0.67,0.33
1133205,2477,1114,155,0.88,0.12
1133206,2478,1018,733,0.58,0.42
1133207,2479,1132,673,0.63,0.37
1133208,2480,797,368,0.68,0.32
1133209,2481,75,61,0.55,0.45
1133210,2482,933,525,0.64,0.36
1133211,2483,532,216,0.71,0.29
1133300,2484,1059,941,0.53,0.47
1133301,2485,922,898,0.51,0.49
1133302,2486,538,441,0.55,0.45
1133303,2487,1266,514,0.71,0.29
1133304,2488,1052,873,0.55,0.45
1133305,2489,1577,1228,0.56,0.44
1133306,2490,602,424,0.59,0.41
1133307,2491,757,386,0.66,0.34
1133308,2492,772,482,0.62,0.38
1133309,2493,829,588,0.59,0.41
1133310,2494,875,816,0.52,0.48
1133311,2495,741,744,0.50,0.50
1133312,2496,1334,847,0.61,0.39
1133313,2497,2607,1079,0.71,0.29
1133314,2498,1868,817,0.70,0.30
1133315,2499,571,280,0.67,0.33
1133316,2500,1136,792,0.59,0.41
1133317,2501,1028,388,0.73,0.27
1133318,2502,704,392,0.64,0.36
1133400,2503,357,83,0.81,0.19
1133401,2504,1,3,0.25,0.75
1133402,2505,171,66,0.72,0.28
1133404,2506,948,369,0.72,0.28
1133405,2507,1332,510,0.72,0.28
1133406,2508,5,16,0.24,0.76
1133407,2509,108,108,0.50,0.50
1133408,2510,762,306,0.71,0.29
1133409,2511,239,129,0.65,0.35
1133410,2512,130,55,0.70,0.30
1133411,2513,1,1,0.50,0.50
1133500,2514,1575,2779,0.36,0.64
1133501,2515,2,6,0.25,0.75
1133600,2516,1378,256,0.84,0.16
1133601,2517,1324,288,0.82,0.18
1133602,2518,430,79,0.84,0.16
1133603,2519,172,44,0.80,0.20
1133604,2520,1644,365,0.82,0.18
1133605,2521,1784,301,0.86,0.14
1133606,2522,1551,160,0.91,0.09
1133607,2523,2714,326,0.89,0.11
1133608,2524,2306,157,0.94,0.06
1133609,2525,2004,372,0.84,0.16
1133610,2526,278,107,0.72,0.28
1133611,2527,600,209,0.74,0.26
1133612,2528,1980,304,0.87,0.13
1133613,2529,358,123,0.74,0.26
1133614,2530,601,67,0.90,0.10
1133615,2531,1649,198,0.89,0.11
1133616,2532,397,53,0.88,0.12
1133617,2533,1690,123,0.93,0.07
1133618,2534,375,39,0.91,0.09
1133619,2535,106,56,0.65,0.35
1133620,2536,886,127,0.87,0.13
1133621,2537,0,0,0.00,0.00
1133700,2538,1931,1100,0.64,0.36
1133701,2539,1626,1158,0.58,0.42
1133702,2540,1044,800,0.57,0.43
1133703,2541,22,27,0.45,0.55
1133800,2542,3014,215,0.93,0.07
1133801,2543,194,50,0.80,0.20
1133802,2544,2332,242,0.91,0.09
1133803,2545,2180,216,0.91,0.09
1133805,2546,3149,242,0.93,0.07
1133806,2547,661,46,0.93,0.07
1133807,2548,1512,244,0.86,0.14
1133808,2549,1943,822,0.70,0.30
1133809,2550,186,40,0.82,0.18
1133900,2551,3632,609,0.86,0.14
1133920,2552,630,883,0.42,0.58
1133921,2553,1631,1320,0.55,0.45
1133922,2554,39,9,0.81,0.19
1133950,2557,987,281,0.78,0.22
1134000,2558,188,77,0.71,0.29
1134001,2559,582,158,0.79,0.21
1134002,2560,502,278,0.64,0.36
1134004,2563,814,283,0.74,0.26
1134005,2564,417,180,0.70,0.30
1134007,2567,113,61,0.65,0.35
1134008,2568,248,55,0.82,0.18
1134010,2571,674,378,0.64,0.36
1134011,2572,393,110,0.78,0.22
1134012,2573,37,26,0.59,0.41
1134013,2574,138,124,0.53,0.47
1134014,2575,800,760,0.51,0.49
1134015,2576,884,249,0.78,0.22
1134016,2577,936,215,0.81,0.19
1134017,2578,254,117,0.68,0.32
1134018,2579,546,306,0.64,0.36
1134019,2580,1467,286,0.84,0.16
1134020,2581,522,163,0.76,0.24
1134021,2582,2483,505,0.83,0.17
1134022,2583,1560,348,0.82,0.18
1134023,2584,1,1,0.50,0.50
1134024,2585,1025,151,0.87,0.13
1134025,2586,196,13,0.94,0.06
1134026,2587,73,13,0.85,0.15
1134027,2588,143,37,0.79,0.21
1134028,2589,509,38,0.93,0.07
1134029,2590,5,2,0.71,0.29
1134030,2591,13,2,0.87,0.13
1134031,2592,1099,96,0.92,0.08
1134032,2593,2092,570,0.79,0.21
1134033,2594,1086,391,0.74,0.26
1134035,2595,692,104,0.87,0.13
1134036,2596,435,61,0.88,0.12
1134037,2597,96,21,0.82,0.18
1134038,2598,1042,114,0.90,0.10
1134039,2599,282,28,0.91,0.09
1134040,2600,365,28,0.93,0.07
1134041,2601,370,35,0.91,0.09
1134043,2602,616,82,0.88,0.12
1134044,2603,519,62,0.89,0.11
1134046,2604,592,65,0.90,0.10
1134047,2605,412,29,0.93,0.07
1134048,2606,1,6,0.14,0.86
1134049,2607,0,0,0.00,0.00
1134050,2608,2298,661,0.78,0.22
1134051,2609,1,0,1.00,0.00
1134052,2610,2383,724,0.77,0.23
1134053,2611,220,64,0.77,0.23
1134054,2612,241,62,0.80,0.20
1134055,2613,1176,332,0.78,0.22
1134056,2614,1345,219,0.86,0.14
1134057,2615,776,190,0.80,0.20
1134058,2616,443,134,0.77,0.23
1134059,2617,186,45,0.81,0.19
1134060,2618,1053,236,0.82,0.18
1134061,2619,1033,282,0.79,0.21
1134062,2620,827,208,0.80,0.20
1134063,2621,1478,358,0.81,0.19
1134065,2622,434,126,0.78,0.23
1134066,2623,461,145,0.76,0.24
1134067,2624,901,237,0.79,0.21
1134068,2625,890,230,0.79,0.21
1134069,2626,1457,322,0.82,0.18
1134070,2627,701,164,0.81,0.19
1134071,2628,158,37,0.81,0.19
1134072,2629,139,27,0.84,0.16
1134073,2630,833,229,0.78,0.22
1134074,2631,1537,357,0.81,0.19
1134075,2632,522,113,0.82,0.18
1134076,2633,1310,355,0.79,0.21
1134077,2634,619,108,0.85,0.15
1134078,2635,1084,228,0.83,0.17
1134079,2636,2477,768,0.76,0.24
1134080,2637,377,197,0.66,0.34
1134081,2638,1418,279,0.84,0.16
1134082,2639,966,193,0.83,0.17
1134083,2640,743,178,0.81,0.19
1134084,2641,281,50,0.85,0.15
1134085,2642,398,102,0.80,0.20
1134086,2643,1361,310,0.81,0.19
1134087,2644,379,82,0.82,0.18
1134088,2645,177,39,0.82,0.18
1134090,2646,36,17,0.68,0.32
1134092,2650,85,29,0.75,0.25
1134093,2651,54,1,0.98,0.02
1134094,2652,239,95,0.72,0.28
1134095,2653,20,12,0.63,0.38
1134096,2654,2,7,0.22,0.78
1134098,2657,25,12,0.68,0.32
1134099,2658,537,466,0.54,0.46
1134100,2659,15,2,0.88,0.12
1134101,2660,55,6,0.90,0.10
1134102,2661,115,98,0.54,0.46
1134103,2662,74,24,0.76,0.24
1134104,2663,18,6,0.75,0.25
1134105,2664,0,0,0.00,0.00
1134106,2665,66,42,0.61,0.39
1134107,2666,65,9,0.88,0.12
1134108,2667,27,2,0.93,0.07
1134109,2668,32,3,0.91,0.09
1134110,2669,477,25,0.95,0.05
1134111,2670,145,48,0.75,0.25
1134112,2671,25,57,0.30,0.70
1134113,2672,875,279,0.76,0.24
1134114,2673,730,199,0.79,0.21
1134115,2674,205,63,0.76,0.24
1134116,2675,0,0,0.00,0.00
1134117,2676,17,12,0.59,0.41
1134118,2677,0,0,0.00,0.00
1134119,2678,2,2,0.50,0.50
1134120,2679,261,41,0.86,0.14
1134121,2680,0,0,0.00,0.00
1134122,2681,0,0,0.00,0.00
1134123,2682,0,0,0.00,0.00
1134124,2683,0,0,0.00,0.00
1134125,2684,0,0,0.00,0.00
1134300,2685,581,224,0.72,0.28
1134500,2686,1122,639,0.64,0.36
1134501,2687,953,613,0.61,0.39
1134502,2688,1646,847,0.66,0.34
1134503,2689,2200,888,0.71,0.29
1134504,2690,572,354,0.62,0.38
1134505,2691,810,533,0.60,0.40
1134506,2692,493,352,0.58,0.42
1134507,2693,542,79,0.87,0.13
1134508,2694,208,136,0.60,0.40
1134509,2695,463,506,0.48,0.52
1134510,2696,776,421,0.65,0.35
1134511,2697,627,397,0.61,0.39
1134512,2698,432,412,0.51,0.49
1134513,2699,987,451,0.69,0.31
1134514,2700,462,405,0.53,0.47
1134515,2701,763,328,0.70,0.30
1134516,2702,15,3,0.83,0.17
1134517,2703,1040,1186,0.47,0.53
1134518,2704,718,477,0.60,0.40
1134519,2705,1447,942,0.61,0.39
1134520,2706,381,205,0.65,0.35
1134521,2707,1730,1197,0.59,0.41
1134522,2708,1607,857,0.65,0.35
1134523,2709,300,146,0.67,0.33
1134525,2710,555,258,0.68,0.32
1134527,2711,575,316,0.65,0.35
1134528,2712,0,0,0.00,0.00
1134529,2713,327,205,0.61,0.39
1134530,2714,124,25,0.83,0.17
1134531,2715,155,189,0.45,0.55
1134532,2716,101,77,0.57,0.43
1134533,2717,435,243,0.64,0.36
1134534,2718,38,10,0.79,0.21
1134535,2719,330,168,0.66,0.34
1134536,2720,18,10,0.64,0.36
1134537,2721,3,0,1.00,0.00
1134538,2722,353,161,0.69,0.31
1134539,2723,0,0,0.00,0.00
1134540,2724,0,0,0.00,0.00
1134541,2725,0,0,0.00,0.00
1134542,2726,0,0,0.00,0.00
1134600,2727,883,770,0.53,0.47
1134601,2728,1326,1273,0.51,0.49
1134602,2729,720,567,0.56,0.44
1134603,2730,21,8,0.72,0.28
1134604,2731,1047,782,0.57,0.43
1134605,2732,864,688,0.56,0.44
1134606,2733,1010,726,0.58,0.42
1134607,2734,689,432,0.61,0.39
1134609,2737,834,252,0.77,0.23
1134610,2738,761,745,0.51,0.49
1134611,2739,592,443,0.57,0.43
1134612,2740,114,108,0.51,0.49
1134613,2741,319,113,0.74,0.26
1134614,2742,150,218,0.41,0.59
1134615,2743,76,57,0.57,0.43
1134616,2744,483,287,0.63,0.37
1134617,2745,67,55,0.55,0.45
1134618,2746,176,125,0.58,0.42
1134619,2747,445,504,0.47,0.53
1134620,2748,588,477,0.55,0.45
1134621,2749,1741,501,0.78,0.22
1134622,2750,760,514,0.60,0.40
1134623,2751,988,580,0.63,0.37
1134624,2752,621,476,0.57,0.43
1134625,2753,820,711,0.54,0.46
1134626,2754,1012,993,0.50,0.50
1134628,2757,972,239,0.80,0.20
1134629,2758,571,273,0.68,0.32
1134630,2759,558,532,0.51,0.49
1134631,2760,464,406,0.53,0.47
1134632,2761,893,374,0.70,0.30
1134633,2762,444,170,0.72,0.28
1134634,2763,1510,1141,0.57,0.43
1134635,2764,758,351,0.68,0.32
1134636,2765,3,0,1.00,0.00
1134637,2766,1896,991,0.66,0.34
1134639,2767,254,128,0.66,0.34
1134640,2768,1264,455,0.74,0.26
1134641,2769,215,146,0.60,0.40
1134642,2770,50,44,0.53,0.47
1134644,2771,348,182,0.66,0.34
1134645,2772,55,25,0.69,0.31
1134646,2773,174,161,0.52,0.48
1134647,2774,1550,1201,0.56,0.44
1134648,2775,1072,346,0.76,0.24
1134649,2776,37,11,0.77,0.23
1134651,2777,18,6,0.75,0.25
1134652,2778,332,145,0.70,0.30
1134653,2779,32,13,0.71,0.29
1134654,2780,417,259,0.62,0.38
1134655,2781,6,41,0.13,0.87
1134656,2782,59,25,0.70,0.30
1134657,2783,33,13,0.72,0.28
1134658,2784,27,29,0.48,0.52
1134659,2785,91,51,0.64,0.36
1134660,2786,14,9,0.61,0.39
1134661,2787,380,140,0.73,0.27
1134662,2788,96,51,0.65,0.35
1134663,2789,0,0,0.00,0.00
1134664,2790,1088,583,0.65,0.35
1150001,2791,219,409,0.35,0.65
1150002,2792,205,427,0.32,0.68
1150003,2793,200,902,0.18,0.82
1150004,2794,137,814,0.14,0.86
1150005,2795,12,88,0.12,0.88
1150011,2796,8,96,0.08,0.92
1150012,2797,9,49,0.16,0.84
1150013,2798,9,88,0.09,0.91
1150017,2799,4,59,0.06,0.94
1170001,2800,256,565,0.31,0.69
1170002,2801,324,550,0.37,0.63
1170003,2802,354,1497,0.19,0.81
1170004,2803,329,681,0.33,0.67
1190001,2804,76,527,0.13,0.87
1190003,2805,81,228,0.26,0.74
1190004,2806,52,305,0.15,0.85
1190005,2807,92,490,0.16,0.84
1190007,2808,20,157,0.11,0.89
1190009,2809,21,199,0.10,0.90
1190010,2810,61,256,0.19,0.81
1211000,2811,429,1842,0.19,0.81
1211001,2812,260,1021,0.20,0.80
1211002,2813,263,997,0.21,0.79
1211003,2814,562,1976,0.22,0.78
1211004,2815,1594,1671,0.49,0.51
1211005,2816,390,1536,0.20,0.80
1211006,2817,1917,2418,0.44,0.56
1211007,2818,1610,2005,0.45,0.55
1211008,2819,270,754,0.26,0.74
1211009,2820,1211,1047,0.54,0.46
1211010,2821,1033,1171,0.47,0.53
1211011,2822,1331,852,0.61,0.39
1211012,2823,1196,966,0.55,0.45
1211013,2824,983,1089,0.47,0.53
1211014,2825,160,51,0.76,0.24
1211015,2826,975,1115,0.47,0.53
1211016,2827,1142,1521,0.43,0.57
1211017,2828,435,606,0.42,0.58
1211018,2829,1771,2056,0.46,0.54
1211019,2830,1026,1040,0.50,0.50
1211020,2831,1230,2190,0.36,0.64
1211021,2832,960,1706,0.36,0.64
1211022,2833,1077,1683,0.39,0.61
1211023,2834,1120,1917,0.37,0.63
1211024,2835,479,1274,0.27,0.73
1211025,2836,1603,2488,0.39,0.61
1211026,2837,1521,1164,0.57,0.43
1211027,2838,823,671,0.55,0.45
1211028,2839,1199,934,0.56,0.44
1211029,2840,1375,1456,0.49,0.51
1211030,2841,1565,2102,0.43,0.57
1211031,2842,984,1273,0.44,0.56
1211032,2843,1955,2358,0.45,0.55
1211033,2844,2164,1822,0.54,0.46
1211034,2845,1866,2064,0.47,0.53
1211035,2846,982,1498,0.40,0.60
1211036,2847,1528,2841,0.35,0.65
1211037,2848,184,526,0.26,0.74
1211038,2849,153,99,0.61,0.39
1211039,2850,61,71,0.46,0.54
1211040,2851,924,1371,0.40,0.60
1211041,2852,2296,2182,0.51,0.49
1211042,2853,24,128,0.16,0.84
1211043,2854,406,455,0.47,0.53
1211044,2855,2163,2674,0.45,0.55
1211045,2856,237,1019,0.19,0.81
1211046,2857,1541,1799,0.46,0.54
1211047,2858,195,306,0.39,0.61
1211048,2859,201,429,0.32,0.68
1211049,2860,374,315,0.54,0.46
1211050,2861,979,1234,0.44,0.56
1211051,2862,762,1007,0.43,0.57
1211052,2863,1612,1588,0.50,0.50
1211053,2864,600,1693,0.26,0.74
1211054,2865,1400,840,0.63,0.38
1211055,2866,656,577,0.53,0.47
1211056,2867,701,737,0.49,0.51
1211057,2868,440,348,0.56,0.44
1212000,2869,1954,568,0.77,0.23
1212001,2870,1770,648,0.73,0.27
1212002,2871,2183,1042,0.68,0.32
1212003,2872,904,627,0.59,0.41
1212004,2873,1626,1001,0.62,0.38
1212005,2874,1635,1637,0.50,0.50
1212006,2875,1465,1269,0.54,0.46
1212007,2876,2175,1253,0.63,0.37
1212008,2877,1658,1150,0.59,0.41
1212009,2878,965,864,0.53,0.47
1212010,2879,1705,1534,0.53,0.47
1212011,2880,1377,1127,0.55,0.45
1212012,2881,696,992,0.41,0.59
1212013,2882,661,753,0.47,0.53
1212014,2883,1065,1152,0.48,0.52
1212016,2886,1593,1293,0.55,0.45
1212017,2887,1751,2381,0.42,0.58
1212018,2888,2163,1388,0.61,0.39
1212019,2889,0,0,0.00,0.00
1212020,2890,1422,2127,0.40,0.60
1212021,2891,1589,1467,0.52,0.48
1212022,2892,952,1330,0.42,0.58
1212023,2893,1446,1463,0.50,0.50
1212024,2894,770,819,0.48,0.52
1212025,2895,750,870,0.46,0.54
1212026,2896,1197,1592,0.43,0.57
1212027,2897,1541,2194,0.41,0.59
1212028,2898,1562,1316,0.54,0.46
1212029,2899,1066,900,0.54,0.46
1212030,2900,2115,1803,0.54,0.46
1212031,2901,1595,1462,0.52,0.48
1212032,2902,992,998,0.50,0.50
1212033,2903,1616,988,0.62,0.38
1212034,2904,1461,875,0.63,0.37
1212035,2905,1549,1299,0.54,0.46
1212036,2906,347,307,0.53,0.47
1212096,2907,0,0,0.00,0.00
1212097,2908,0,0,0.00,0.00
1212098,2909,0,0,0.00,0.00
1212099,2910,0,0,0.00,0.00
1213000,2911,1166,1859,0.39,0.61
1213001,2912,945,1929,0.33,0.67
1213002,2913,1342,2286,0.37,0.63
1213003,2914,876,1371,0.39,0.61
1213004,2915,867,1636,0.35,0.65
1213005,2916,556,1080,0.34,0.66
1213006,2917,1416,1611,0.47,0.53
1213007,2918,1753,1437,0.55,0.45
1213008,2919,981,1265,0.44,0.56
1213009,2920,853,1071,0.44,0.56
1213010,2921,1697,1548,0.52,0.48
1213011,2922,1757,1298,0.58,0.42
1213012,2923,660,720,0.48,0.52
1213013,2924,994,931,0.52,0.48
1213014,2925,861,754,0.53,0.47
1213015,2926,1025,702,0.59,0.41
1213016,2927,944,500,0.65,0.35
1213017,2928,1744,683,0.72,0.28
1213018,2929,544,409,0.57,0.43
1213019,2930,2217,1289,0.63,0.37
1213020,2931,423,200,0.68,0.32
1213021,2932,1887,1725,0.52,0.48
1213022,2933,73,105,0.41,0.59
1213023,2934,194,180,0.52,0.48
1213024,2935,1315,1602,0.45,0.55
1213025,2936,1433,1948,0.42,0.58
1213026,2937,894,1170,0.43,0.57
1213027,2938,1553,1946,0.44,0.56
1213028,2939,1437,1933,0.43,0.57
1213029,2940,839,1105,0.43,0.57
1213030,2941,809,1203,0.40,0.60
1213031,2942,1064,1679,0.39,0.61
1213032,2943,1020,430,0.70,0.30
1213033,2944,925,1198,0.44,0.56
1213098,2945,0,0,0.00,0.00
1213099,2946,0,0,0.00,0.00
1214000,2947,948,2636,0.26,0.74
1214001,2948,324,939,0.26,0.74
1214002,2949,631,2420,0.21,0.79
1214003,2950,1125,2952,0.28,0.72
1214004,2951,1065,290,0.79,0.21
1214005,2952,1127,907,0.55,0.45
1214006,2953,1147,649,0.64,0.36
1214007,2954,1331,511,0.72,0.28
1214008,2955,899,305,0.75,0.25
1214009,2956,1718,688,0.71,0.29
1214010,2957,863,540,0.62,0.38
1214011,2958,2610,1061,0.71,0.29
1214012,2959,1002,1085,0.48,0.52
1214013,2960,184,65,0.74,0.26
1214014,2961,1005,162,0.86,0.14
1214015,2962,368,158,0.70,0.30
1214016,2963,0,1,0.00,1.00
1214017,2964,777,2845,0.21,0.79
1214018,2965,581,1267,0.31,0.69
1214019,2966,47,143,0.25,0.75
1214020,2967,218,593,0.27,0.73
1214021,2968,351,1128,0.24,0.76
1214022,2969,579,1496,0.28,0.72
1214024,2972,944,1559,0.38,0.62
1214025,2973,1315,1551,0.46,0.54
1214026,2974,598,741,0.45,0.55
1214027,2975,1517,1851,0.45,0.55
1214028,2976,1137,2520,0.31,0.69
1214029,2977,344,810,0.30,0.70
1214030,2978,133,265,0.33,0.67
1214031,2979,1057,2467,0.30,0.70
1214032,2980,1389,2887,0.32,0.68
1214033,2981,854,1676,0.34,0.66
1214034,2982,1366,2367,0.37,0.63
1214035,2983,1819,4038,0.31,0.69
1214036,2984,565,2228,0.20,0.80
1214037,2985,828,457,0.64,0.36
1214038,2986,73,134,0.35,0.65
1214039,2987,1116,179,0.86,0.14
1214040,2988,543,415,0.57,0.43
1214041,2989,916,760,0.55,0.45
1214042,2990,7,26,0.21,0.79
1214043,2991,820,1820,0.31,0.69
1214044,2992,915,2183,0.30,0.70
1214045,2993,2100,353,0.86,0.14
1214046,2994,1004,1989,0.34,0.66
1214047,2995,608,1082,0.36,0.64
1214048,2996,1445,2599,0.36,0.64
1214049,2997,317,1278,0.20,0.80
1230101,2998,193,896,0.18,0.82
1230102,2999,317,237,0.57,0.43
1230201,3000,51,322,0.14,0.86
1230202,3001,142,620,0.19,0.81
1230203,3002,91,616,0.13,0.87
1230301,3003,127,878,0.13,0.87
1230302,3004,136,678,0.17,0.83
1230303,3005,51,251,0.17,0.83
1230401,3006,308,1262,0.20,0.80
1230402,3007,78,807,0.09,0.91
1250001,3008,9,74,0.11,0.89
1250002,3009,10,80,0.11,0.89
1250005,3015,16,152,0.10,0.90
1250006,3016,28,211,0.12,0.88
1270001,3017,522,399,0.57,0.43
1270002,3018,566,303,0.65,0.35
1270003,3019,147,117,0.56,0.44
1270004,3020,33,32,0.51,0.49
1270005,3021,448,167,0.73,0.27
1270006,3022,321,218,0.60,0.40
1270007,3023,227,148,0.61,0.39
1290101,3024,15,102,0.13,0.87
1290102,3025,27,237,0.10,0.90
1290201,3026,66,382,0.15,0.85
1290301,3027,14,130,0.10,0.90
1290303,3028,25,232,0.10,0.90
1290401,3029,51,355,0.13,0.87
1310001,3030,730,548,0.57,0.43
1310002,3031,553,336,0.62,0.38
1310003,3032,184,85,0.68,0.32
1310004,3033,42,54,0.44,0.56
1310005,3034,131,130,0.50,0.50
1310006,3035,66,30,0.69,0.31
1310007,3036,22,69,0.24,0.76
1310008,3037,456,879,0.34,0.66
1310009,3038,391,312,0.56,0.44
1330001,3039,240,1649,0.13,0.87
1330002,3040,29,230,0.11,0.89
1330003,3041,166,870,0.16,0.84
1330004,3042,20,223,0.08,0.92
1330005,3043,52,417,0.11,0.89
1330006,3044,25,248,0.09,0.91
1330007,3045,146,1348,0.10,0.90
1330008,3046,260,1822,0.12,0.88
1330009,3047,45,430,0.09,0.91
1350101,3048,576,2167,0.21,0.79
1350102,3049,493,1390,0.26,0.74
1350103,3050,199,740,0.21,0.79
1350104,3051,40,149,0.21,0.79
1350106,3052,200,674,0.23,0.77
1350107,3053,109,496,0.18,0.82
1350108,3054,283,1449,0.16,0.84
1350109,3055,17,134,0.11,0.89
1350110,3056,736,2473,0.23,0.77
1350111,3057,101,247,0.29,0.71
